"","sgCtrl_g1_rep1","sgCtrl_g1_rep2","sgCtrl_g1_rep3","sgCtrl_g2_rep1","sgCtrl_g2_rep2","sgCtrl_g2_rep3","sgNfe2l1_g1_rep1","sgNfe2l1_g1_rep2","sgNfe2l1_g1_rep3","sgNfe2l1_g2_rep1","sgNfe2l1_g2_rep2","sgNfe2l1_g2_rep3","sgNfe2l2_g1_rep1","sgNfe2l2_g1_rep2","sgNfe2l2_g1_rep3","sgNfe2l2_g2_rep1","sgNfe2l2_g2_rep2","sgNfe2l2_g2_rep3","doubleKO_g1_rep1","doubleKO_g1_rep2","doubleKO_g1_rep3","doubleKO_g2_rep1","doubleKO_g2_rep2","doubleKO_g2_rep3"
"Xkr4",4,2,2,1,1,2,2,1,0,4,1,0,5,5,3,6,0,6,1,4,2,1,3,2
"Gm1992",1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm19938",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm37381",0,0,0,0,0,2,1,2,1,1,0,0,2,0,3,1,0,0,1,1,0,0,0,0
"Rp1",0,1,1,3,1,2,8,2,3,3,3,2,7,1,7,8,7,2,1,5,4,1,0,5
"Sox17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"Gm37587",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm37323",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mrpl15",9,27,30,25,44,23,48,8,24,26,17,16,103,26,71,115,45,41,34,42,30,35,22,35
"Lypla1",4,25,24,9,34,22,46,17,20,25,28,12,95,21,47,98,32,59,25,30,29,24,15,23
"Tcea1",3,24,51,19,24,31,35,11,23,31,18,22,82,39,58,99,38,42,39,27,30,28,18,43
"Rgs20",0,1,1,0,0,1,1,2,0,0,1,1,1,0,3,2,0,3,1,1,1,0,0,0
"Gm16041",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Atp6v1h",29,52,69,35,84,66,108,30,42,91,49,47,185,63,96,176,80,90,50,63,61,53,33,64
"Oprk1",0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Npbwr1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rb1cc1",7,10,25,8,19,18,18,10,18,16,10,17,65,16,34,66,25,42,15,28,27,12,10,21
"4732440D04Rik",0,0,3,0,1,1,3,0,1,1,0,1,6,1,2,2,1,3,2,1,3,0,0,0
"Alkal1",0,2,0,0,0,0,2,0,0,2,2,0,3,0,1,1,2,0,0,1,0,0,0,0
"St18",10,22,25,20,14,18,26,8,13,19,14,16,74,15,54,69,28,38,24,18,17,13,12,17
"Pcmtd1",4,12,17,13,7,4,21,5,5,16,9,12,51,6,18,52,18,27,7,13,14,13,13,6
"Gm26901",3,2,6,2,6,4,4,2,3,1,0,2,11,3,6,17,5,4,7,8,1,2,1,0
"Gm30414",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0
"Sntg1",3,1,4,7,5,6,7,6,8,7,1,3,17,7,8,16,8,9,4,5,8,5,4,5
"Rrs1",5,10,14,10,21,15,22,3,10,13,8,16,33,15,25,48,21,19,8,14,16,10,13,11
"Adhfe1",1,1,0,3,3,1,2,0,2,1,2,2,6,2,2,1,3,4,1,1,0,3,1,3
"2610203C22Rik",0,0,3,1,0,0,1,0,0,0,0,0,3,2,0,2,1,0,0,0,0,1,0,1
"Vxn",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Gm29520",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mybl1",2,1,1,2,1,1,0,0,2,0,0,1,4,5,1,4,2,1,3,1,0,0,1,2
"Vcpip1",60,152,167,115,131,112,156,72,100,127,100,84,368,137,239,390,160,184,131,144,147,87,106,153
"1700034P13Rik",3,7,12,3,4,7,9,2,3,10,1,9,13,13,14,20,10,11,9,8,6,13,8,6
"Sgk3",23,32,29,12,45,20,47,11,15,23,20,15,89,43,52,97,49,47,24,44,28,27,29,24
"Mcmdc2",0,4,2,0,1,1,3,1,0,1,1,0,4,0,4,2,0,2,0,0,0,1,1,4
"Snhg6",1,11,8,2,1,4,20,6,6,8,8,3,30,15,13,38,5,14,9,7,14,9,3,9
"Tcf24",0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,2,0
"Ppp1r42",0,0,0,2,0,1,2,1,1,1,1,0,4,1,3,2,2,3,0,1,1,0,1,0
"Gm15818",0,2,0,0,0,2,4,1,0,0,1,0,4,3,1,1,2,1,1,1,0,0,1,1
"Cops5",11,19,33,27,52,27,39,10,22,48,35,23,132,29,50,130,78,63,31,45,26,41,17,39
"Cspp1",3,18,21,13,10,14,17,7,19,15,9,9,50,20,35,46,27,34,14,20,16,15,9,15
"Arfgef1",78,96,84,129,126,115,83,58,57,89,112,44,204,116,155,224,166,140,121,110,105,84,98,125
"Cpa6",3,9,12,7,3,10,21,8,12,15,12,9,29,3,7,22,10,10,6,11,9,5,7,6
"Prex2",0,0,4,2,8,1,2,1,2,2,1,2,9,3,3,14,4,3,5,3,7,3,1,1
"A830018L16Rik",1,3,4,2,3,3,5,4,0,2,2,0,11,0,7,11,5,3,3,2,5,5,3,2
"Gm17644",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm29663",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sulf1",0,1,0,1,1,0,0,0,1,0,0,0,4,1,2,2,1,3,4,2,2,0,1,0
"Slco5a1",0,2,1,2,1,1,4,0,0,1,2,0,4,1,5,4,0,3,1,2,0,0,1,1
"Gm29283",0,0,0,2,0,0,1,0,0,0,0,0,1,1,0,0,2,0,0,2,0,0,0,0
"Prdm14",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Ncoa2",6,14,17,6,11,10,11,4,10,8,12,7,39,13,17,55,17,26,18,7,10,10,6,11
"Gm29570",1,0,1,0,0,0,0,0,0,0,0,0,4,0,2,0,1,0,0,1,0,1,0,2
"Tram1",18,21,42,26,35,29,49,19,25,37,32,30,97,28,71,111,47,67,32,38,32,36,26,31
"Lactb2",2,4,5,3,8,10,10,2,3,10,6,3,19,6,8,24,10,12,10,0,5,1,3,5
