"","sgNfe2l1","sgNfe2l2","doubleKO"
"Mrpl15",0,0,0
"Tcea1",0,0,0
"Atp6v1h",0,0,0
"Rb1cc1",0,0,0
"St18",0,0,0
"Pcmtd1",0,0,0
"Gm26901",0,0,0
"Sntg1",0,0,0
"Rrs1",0,0,0
"Vcpip1",0,0,0
"1700034P13Rik",0,0,0
"Sgk3",0,0,0
"Snhg6",0,0,0
"Cops5",0,0,0
"Cspp1",0,0,0
"Arfgef1",0,0,0
"Cpa6",0,0,0
"Prex2",0,0,0
"Ncoa2",0,0,0
"Tram1",0,0,0
"Lactb2",0,0,0
"Terf1",0,0,0
"Gm7634",0,0,0
"Rpl7",0,1,1
"Rdh10",0,0,0
"Stau2",0,0,0
"Ube2w",0,0,0
"Eloc",0,0,1
"Tmem70",0,0,0
"Ly96",0,0,0
"Mcm3",0,0,0
"Tram2",0,0,0
"Tmem14a",0,0,0
"Kcnq5",0,0,0
"Ogfrl1",0,0,0
"Smap1",0,0,0
"Sdhaf4",0,0,0
"Col19a1",0,0,0
"Lmbrd1",0,0,0
"Phf3",0,0,0
"Khdrbs2",0,0,0
"Prim2",0,0,0
"Zfp451",0,0,0
"Bend6",0,0,0
"Dst",0,0,0
"Ccdc115",0,0,0
"Imp4",0,0,0
"Ptpn18",0,0,0
"Fam168b",0,0,0
"Plekhb2",0,0,0
"Uggt1",0,0,0
"Neurl3",0,0,0
"Arid5a",0,0,0
"Kansl3",0,0,0
"Lman2l",0,0,0
"Cnnm4",0,0,0
"Cnnm3",0,0,0
"Cox5b",0,0,0
"Actr1b",0,0,0
"Tmem131",0,0,0
"Inpp4a",0,0,0
"Coa5",0,0,0
"Unc50",0,0,0
"Mgat4a",0,0,0
"Mitd1",0,0,0
"Mrpl30",0,0,0
"Txndc9",0,1,0
"Eif5b",0,0,0
"Rev1",0,0,0
"Aff3",0,0,0
"Pdcl3",0,0,0
"Rpl31",0,0,0
"Tbc1d8",0,0,0
"Cnot11",0,0,0
"Gm15832",0,0,0
"Rnf149",0,0,0
"Map4k4",0,0,0
"Il1r2",0,1,0
"Il1rl2",0,0,0
"Mrps9",0,0,0
"Tgfbrap1",0,0,0
"Nck2",0,0,0
"Uxs1",0,0,0
"Tpp2",0,0,0
"Tex30",0,0,0
"Ercc5",0,0,0
"Txn-ps1",0,0,0
"Wdr75",0,0,0
"Gm5526",0,0,0
"Slc40a1",0,0,0
"Gm8357",0,0,0
"Nabp1",0,0,0
"Myo1b",0,0,0
"Stat1",0,0,0
"Gls",0,0,0
"Nab1",0,0,0
"Mfsd6",0,0,0
"Inpp1",0,0,0
"Hibch",0,0,0
"Stk17b",0,0,0
"Hecw2",0,0,0
"Gtf3c3",0,0,0
"Pgap1",0,0,0
"Ankrd44",0,0,0
"Sf3b1",0,0,0
"Coq10b",0,0,0
"Hspd1",1,1,0
"Hspe1",0,0,0
"Mob4",0,0,0
"Satb2",0,0,0
"Tyw5",0,0,0
"Maip1",0,0,0
"Kctd18",0,0,0
"Bzw1",0,0,0
"Clk1",0,0,0
"Ppil3",0,0,0
"Nif3l1",0,0,0
"Orc2",0,0,0
"Fam126b",0,0,0
"Ndufb3",0,0,0
"Cflar",0,0,0
"Casp8",0,0,0
"Trak2",0,0,0
"Stradb",0,0,0
"Tmem237",0,0,0
"Als2",0,0,0
"Fzd7",0,0,0
"Sumo1",0,0,0
"Nop58",0,0,0
"Bmpr2",0,0,0
"Fam117b",0,0,0
"Wdr12",0,0,0
"Carf",0,0,0
"Nbeal1",0,0,0
"Cyp20a1",0,0,0
"Abi2",0,0,0
"Raph1",0,0,0
"Ctla4",0,0,0
"Pard3b",0,0,0
"Nrp2",0,0,0
"Ino80d",0,0,0
"Ino80dos",0,0,0
"Ndufs1",0,0,0
"Eef1b2",0,1,1
"Fastkd2",0,0,0
"Klf7",0,0,0
"Creb1",0,0,0
"Mettl21a",0,0,0
"2810408I11Rik",0,0,0
"Ccnyl1",0,0,0
"Fzd5",0,0,0
"Plekhm3",0,0,0
"Rpl10a-ps1",0,1,0
"Idh1",1,0,0
"Pikfyve",0,0,0
"Rpe",0,0,0
"Acadl",0,0,0
"Erbb4",0,0,0
"Gm29114",0,0,0
"Ikzf2",0,0,0
"Spag16",0,0,0
"Atic",0,0,0
"Fn1",0,0,0
"Mreg",0,0,0
"Pecr",0,0,0
"Smarcal1",0,0,0
"Rpl37a",0,0,0
"Tns1",0,0,0
"Arpc2",0,0,0
"Aamp",0,0,0
"Pnkd",0,0,0
"Tmbim1",0,0,0
"Slc11a1",0,0,0
"Ctdsp1",0,0,0
"Usp37",0,0,0
"Cnot9",0,0,0
"Zfp142",0,0,0
"Rnf25",0,0,0
"Ttll4",0,0,0
"Cyp27a1",0,0,0
"Cnppd1",0,0,0
"Retreg2",0,0,0
"Zfand2b",0,0,0
"Ankzf1",0,0,0
"Stk16",0,0,0
"Dnpep",0,0,0
"Speg",0,0,0
"Gmppa",0,0,0
"Stk11ip",0,0,0
"Epha4",0,0,0
"Farsb",0,0,0
"Gm29536",0,0,0
"Wdfy1",0,0,0
"Mrpl44",0,0,0
"Cul3",0,0,0
"Dock10",-1,-1,-1
"Rhbdd1",0,0,0
"Mff",0,0,0
"Agfg1",0,0,0
"Pid1",0,0,0
"Trip12",-1,0,0
"Fbxo36",0,0,0
"C130026I21Rik",0,1,0
"A530040E14Rik",0,0,0
"Gm2619",0,0,0
"Gm16026",0,0,0
"Sp110",0,0,0
"Sp140",0,1,0
"Gm10552",1,1,0
"Sp100",0,0,0
"A630001G21Rik",0,0,0
"Cab39",0,0,0
"Itm2c",0,0,0
"Psmd1",0,0,0
"Gm21972",0,0,0
"Ncl",0,0,0
"Ptma",0,0,0
"Pde6d",0,0,0
"Cops7b",0,0,0
"Dis3l2",0,0,0
"Gm6136",0,0,0
"Eif4e2",0,0,0
"Gigyf2",0,0,0
"Ngef",0,0,0
"Inpp5d",0,0,0
"Atg16l1",0,0,0
"Dgkd",0,0,0
"Usp40",0,0,0
"Hjurp",0,0,0
"Glrp1",0,0,0
"Arl4c",0,0,0
"Sh3bp4",0,0,0
"Agap1",0,0,0
"Cops8",0,0,0
"Lrrfip1",0,0,0
"Ramp1",0,0,0
"Ube2f",0,1,0
"Scly",0,0,0
"Ilkap",0,0,0
"Twist2",0,0,0
"Hdac4",0,0,0
"Ndufa10",0,0,0
"Cops9",0,0,0
"Gpc1",0,0,0
"Ankmy1",0,0,0
"Rnpepl1",0,0,0
"9430060I03Rik",0,0,0
"Kif1a",0,0,0
"Mterf4",0,0,0
"Ppp1r7",0,0,0
"Hdlbp",0,0,0
"Farp2",0,0,0
"Stk25",0,0,0
"Thap4",0,0,0
"Atg4b",0,0,0
"Dtymk",0,0,0
"Ing5",0,0,0
"D2hgdh",0,0,0
"Fam174a",0,0,0
"Gm15427",0,0,0
"St8sia4",0,0,0
